(venv) mroczekj@mroczekj:~/Pulpit/studia/obliczenia-inteligentne-4/inductive$ python3 rusty.py
trainig accuracy is 0.6324
Epoch: 01, Test: 0.8298
trainig accuracy is 0.8395833333333333
Epoch: 02, Test: 0.8913
trainig accuracy is 0.8672666666666666
Epoch: 03, Test: 0.8941
trainig accuracy is 0.882
Epoch: 04, Test: 0.8812
trainig accuracy is 0.8882333333333333
Epoch: 05, Test: 0.9179
trainig accuracy is 0.8967166666666667
Epoch: 06, Test: 0.9216
trainig accuracy is 0.9008166666666667
Epoch: 07, Test: 0.9153
trainig accuracy is 0.90355
Epoch: 08, Test: 0.9187
trainig accuracy is 0.9068166666666667
Epoch: 09, Test: 0.9152
trainig accuracy is 0.90995
Epoch: 10, Test: 0.9337
trainig accuracy is 0.9125833333333333
Epoch: 11, Test: 0.9086
trainig accuracy is 0.9171166666666667
Epoch: 12, Test: 0.9438
trainig accuracy is 0.91675
Epoch: 13, Test: 0.9283
trainig accuracy is 0.9190833333333334
Epoch: 14, Test: 0.9409

