[DEVICE] Using cuda
Starting learning
Epoch: 1, Accuracy: 30.834564254062037%, Training loss: 1.9571079015731812
Epoch: 2, Accuracy: 30.243722304283605%, Training loss: 1.8661134243011475
Epoch: 3, Accuracy: 31.499261447562777%, Training loss: 1.7422747611999512
Epoch: 4, Accuracy: 52.14180206794683%, Training loss: 1.6179399490356445
Epoch: 5, Accuracy: 68.27917282127031%, Training loss: 1.396981954574585
Epoch: 6, Accuracy: 74.96307237813885%, Training loss: 1.1973514556884766
Epoch: 7, Accuracy: 77.73264401772526%, Training loss: 0.9376508593559265
Epoch: 8, Accuracy: 82.45937961595273%, Training loss: 0.7292560935020447
Epoch: 9, Accuracy: 84.19497784342688%, Training loss: 0.5988585352897644
Epoch: 10, Accuracy: 85.89364844903989%, Training loss: 0.5184502005577087
Epoch: 11, Accuracy: 87.55539143279172%, Training loss: 0.4769066274166107
Epoch: 12, Accuracy: 86.44756277695717%, Training loss: 0.43355634808540344
Epoch: 13, Accuracy: 87.99852289512556%, Training loss: 0.42806103825569153
Epoch: 14, Accuracy: 89.80797636632201%, Training loss: 0.3783998489379883
Epoch: 15, Accuracy: 90.14032496307237%, Training loss: 0.3727162182331085
Epoch: 16, Accuracy: 91.17429837518463%, Training loss: 0.35019055008888245
Epoch: 17, Accuracy: 91.13737075332348%, Training loss: 0.3507370948791504
Epoch: 18, Accuracy: 91.80206794682422%, Training loss: 0.31528207659721375
Epoch: 19, Accuracy: 91.69128508124076%, Training loss: 0.28861698508262634
Epoch: 20, Accuracy: 91.98670605612999%, Training loss: 0.2741296887397766
Epoch: 21, Accuracy: 91.87592319054653%, Training loss: 0.2609901428222656
Epoch: 22, Accuracy: 92.42983751846381%, Training loss: 0.24180476367473602
Epoch: 23, Accuracy: 92.76218611521418%, Training loss: 0.2196277678012848
Epoch: 24, Accuracy: 92.83604135893648%, Training loss: 0.22240181267261505
Epoch: 25, Accuracy: 92.94682422451994%, Training loss: 0.22595655918121338
Epoch: 26, Accuracy: 93.64844903988183%, Training loss: 0.20840603113174438
Epoch: 27, Accuracy: 93.64844903988183%, Training loss: 0.19722552597522736
Epoch: 28, Accuracy: 93.16838995568685%, Training loss: 0.19514499604701996
Epoch: 29, Accuracy: 93.68537666174298%, Training loss: 0.19351257383823395
Epoch: 30, Accuracy: 93.57459379615953%, Training loss: 0.18457157909870148
Epoch: 31, Accuracy: 93.64844903988183%, Training loss: 0.17918337881565094
Epoch: 32, Accuracy: 94.23929098966026%, Training loss: 0.17715957760810852
Epoch: 33, Accuracy: 93.9807976366322%, Training loss: 0.16845431923866272
Epoch: 34, Accuracy: 94.97784342688331%, Training loss: 0.1635051816701889
Epoch: 35, Accuracy: 93.79615952732644%, Training loss: 0.16736561059951782
Epoch: 36, Accuracy: 93.87001477104874%, Training loss: 0.15862368047237396
Epoch: 37, Accuracy: 95.01477104874446%, Training loss: 0.14774703979492188
Epoch: 38, Accuracy: 94.68242245199409%, Training loss: 0.1385885328054428
Epoch: 39, Accuracy: 94.8301329394387%, Training loss: 0.15302856266498566
Epoch: 40, Accuracy: 94.16543574593796%, Training loss: 0.14611074328422546
Epoch: 41, Accuracy: 95.08862629246677%, Training loss: 0.13923747837543488
Epoch: 42, Accuracy: 94.20236336779911%, Training loss: 0.14539965987205505
Epoch: 43, Accuracy: 94.903988183161%, Training loss: 0.13924798369407654
Epoch: 44, Accuracy: 94.38700147710487%, Training loss: 0.13177573680877686
Epoch: 45, Accuracy: 95.23633677991137%, Training loss: 0.12824498116970062
Epoch: 46, Accuracy: 95.42097488921713%, Training loss: 0.13099586963653564
Epoch: 47, Accuracy: 95.16248153618906%, Training loss: 0.12345600873231888
Epoch: 48, Accuracy: 95.56868537666175%, Training loss: 0.12271735817193985
Epoch: 49, Accuracy: 95.64254062038405%, Training loss: 0.10593186318874359
Epoch: 50, Accuracy: 95.71639586410635%, Training loss: 0.1107986569404602
Epoch: 51, Accuracy: 95.5317577548006%, Training loss: 0.10792389512062073
Epoch: 52, Accuracy: 95.7533234859675%, Training loss: 0.11328556388616562
Epoch: 53, Accuracy: 95.8271787296898%, Training loss: 0.11289878934621811
Epoch: 54, Accuracy: 95.67946824224519%, Training loss: 0.10808497667312622
Epoch: 55, Accuracy: 96.01181683899557%, Training loss: 0.10981282591819763
Epoch: 56, Accuracy: 95.97488921713442%, Training loss: 0.09891311824321747
Epoch: 57, Accuracy: 96.49187592319055%, Training loss: 0.10288016498088837
Epoch: 58, Accuracy: 96.38109305760709%, Training loss: 0.10498565435409546
Epoch: 59, Accuracy: 96.01181683899557%, Training loss: 0.09911337494850159
Epoch: 60, Accuracy: 96.12259970457903%, Training loss: 0.11065797507762909
Epoch: 61, Accuracy: 96.86115214180207%, Training loss: 0.09541822224855423
Epoch: 62, Accuracy: 96.30723781388478%, Training loss: 0.09511253982782364
