[DEVICE] Using cuda
Starting learning
Epoch: 1, Accuracy: 30.280649926144758%, Training loss: 1.9248549938201904
Epoch: 2, Accuracy: 8.78877400295421%, Training loss: 6.611077785491943
Epoch: 3, Accuracy: 30.834564254062037%, Training loss: 11.177391052246094
Epoch: 4, Accuracy: 26.440177252584935%, Training loss: 11.205721855163574
Epoch: 5, Accuracy: 18.61152141802068%, Training loss: 2.30800199508667
Epoch: 6, Accuracy: 15.435745937961595%, Training loss: 3.0593366622924805
Epoch: 7, Accuracy: 15.878877400295421%, Training loss: 3.103889226913452
Epoch: 8, Accuracy: 37.62924667651403%, Training loss: 2.1368634700775146
Epoch: 9, Accuracy: 40.43574593796159%, Training loss: 1.661458134651184
Epoch: 10, Accuracy: 42.651403249630725%, Training loss: 1.5516289472579956
Epoch: 11, Accuracy: 42.72525849335303%, Training loss: 1.569719672203064
Epoch: 12, Accuracy: 42.72525849335303%, Training loss: 1.5700777769088745
Epoch: 13, Accuracy: 43.02067946824224%, Training loss: 1.5353484153747559
Epoch: 14, Accuracy: 42.79911373707533%, Training loss: 1.5354933738708496
Epoch: 15, Accuracy: 47.34121122599704%, Training loss: 1.4984420537948608
Epoch: 16, Accuracy: 43.53766617429837%, Training loss: 1.6306500434875488
Epoch: 17, Accuracy: 44.94091580502216%, Training loss: 1.5726417303085327
Epoch: 18, Accuracy: 45.71639586410635%, Training loss: 1.5163291692733765
Epoch: 19, Accuracy: 46.602658788774%, Training loss: 1.5273876190185547
Epoch: 20, Accuracy: 47.378138847858196%, Training loss: 1.476474642753601
Epoch: 21, Accuracy: 50.03692762186115%, Training loss: 1.456251621246338
Epoch: 22, Accuracy: 50.59084194977844%, Training loss: 1.4472938776016235
Epoch: 23, Accuracy: 51.181683899556866%, Training loss: 1.3865870237350464
Epoch: 24, Accuracy: 51.84638109305761%, Training loss: 1.3813741207122803
Epoch: 25, Accuracy: 53.24963072378139%, Training loss: 1.3735313415527344
Epoch: 26, Accuracy: 53.4711964549483%, Training loss: 1.3382691144943237
Epoch: 27, Accuracy: 54.246676514032494%, Training loss: 1.322270393371582
Epoch: 28, Accuracy: 54.72673559822747%, Training loss: 1.3049657344818115
Epoch: 29, Accuracy: 56.05612998522895%, Training loss: 1.2748221158981323
Epoch: 30, Accuracy: 56.35155096011817%, Training loss: 1.30270516872406
Epoch: 31, Accuracy: 56.831610044313145%, Training loss: 1.2658344507217407
Epoch: 32, Accuracy: 58.75184638109306%, Training loss: 1.2489473819732666
Epoch: 33, Accuracy: 60.30280649926145%, Training loss: 1.2174991369247437
Epoch: 34, Accuracy: 61.078286558345646%, Training loss: 1.2092844247817993
Epoch: 35, Accuracy: 61.63220088626292%, Training loss: 1.1737661361694336
Epoch: 36, Accuracy: 63.07237813884786%, Training loss: 1.1300437450408936
Epoch: 37, Accuracy: 63.18316100443131%, Training loss: 1.1293144226074219
Epoch: 38, Accuracy: 62.92466765140325%, Training loss: 1.120875358581543
Epoch: 39, Accuracy: 64.10635155096011%, Training loss: 1.0780882835388184
Epoch: 40, Accuracy: 65.47267355982275%, Training loss: 1.0568302869796753
Epoch: 41, Accuracy: 64.36484490398819%, Training loss: 1.035915493965149
Epoch: 42, Accuracy: 66.17429837518463%, Training loss: 0.9614615440368652
Epoch: 43, Accuracy: 66.83899556868538%, Training loss: 0.9298837780952454
Epoch: 44, Accuracy: 66.61742983751846%, Training loss: 0.9203411936759949
Epoch: 45, Accuracy: 68.205317577548%, Training loss: 0.9123696684837341
Epoch: 46, Accuracy: 72.00886262924668%, Training loss: 0.8461947441101074
Epoch: 47, Accuracy: 71.12259970457903%, Training loss: 0.8213474154472351
Epoch: 48, Accuracy: 73.81831610044313%, Training loss: 0.7592594027519226
Epoch: 49, Accuracy: 73.52289512555392%, Training loss: 0.7322660684585571
Epoch: 50, Accuracy: 73.96602658788774%, Training loss: 0.7639918327331543
Epoch: 51, Accuracy: 73.89217134416543%, Training loss: 0.743448793888092
Epoch: 52, Accuracy: 76.66174298375185%, Training loss: 0.7231383919715881
Epoch: 53, Accuracy: 75.88626292466765%, Training loss: 0.7032116651535034
Epoch: 54, Accuracy: 77.88035450516986%, Training loss: 0.7040145993232727
Epoch: 55, Accuracy: 77.5480059084195%, Training loss: 0.7268006801605225
Epoch: 56, Accuracy: 76.99409158050221%, Training loss: 0.6727689504623413
Epoch: 57, Accuracy: 76.99409158050221%, Training loss: 0.6844048500061035
Epoch: 58, Accuracy: 76.55096011816839%, Training loss: 0.6597700715065002
Epoch: 59, Accuracy: 77.14180206794683%, Training loss: 0.6861405372619629
Epoch: 60, Accuracy: 76.95716395864106%, Training loss: 0.6594196557998657
Epoch: 61, Accuracy: 78.28655834564255%, Training loss: 0.6440391540527344
Epoch: 62, Accuracy: 78.32348596750369%, Training loss: 0.6153813004493713
Epoch: 63, Accuracy: 77.80649926144756%, Training loss: 0.6257357597351074
Epoch: 64, Accuracy: 78.13884785819793%, Training loss: 0.6172321438789368
Epoch: 65, Accuracy: 77.88035450516986%, Training loss: 0.6373962759971619
Epoch: 66, Accuracy: 77.73264401772526%, Training loss: 0.6292501091957092
Epoch: 67, Accuracy: 78.06499261447563%, Training loss: 0.6502773761749268
Epoch: 68, Accuracy: 78.84047267355982%, Training loss: 0.7040550112724304
Epoch: 69, Accuracy: 79.61595273264402%, Training loss: 0.6206921339035034
Epoch: 70, Accuracy: 79.61595273264402%, Training loss: 0.5912109613418579
Epoch: 71, Accuracy: 79.3943870014771%, Training loss: 0.5669459104537964
Epoch: 72, Accuracy: 79.13589364844904%, Training loss: 0.5715816617012024
Epoch: 73, Accuracy: 79.94830132939438%, Training loss: 0.575522780418396
Epoch: 74, Accuracy: 79.09896602658789%, Training loss: 0.6287252902984619
Epoch: 75, Accuracy: 76.07090103397341%, Training loss: 0.5929341316223145
Epoch: 76, Accuracy: 78.87740029542097%, Training loss: 0.6395493745803833
Epoch: 77, Accuracy: 80.35450516986707%, Training loss: 0.6062959432601929
Epoch: 78, Accuracy: 81.61004431314623%, Training loss: 0.5359830856323242
Epoch: 79, Accuracy: 80.42836041358936%, Training loss: 0.573556125164032
Epoch: 80, Accuracy: 82.20088626292467%, Training loss: 0.5572702884674072
Epoch: 81, Accuracy: 80.096011816839%, Training loss: 0.5333728790283203
Epoch: 82, Accuracy: 81.12998522895126%, Training loss: 0.5356435775756836
Epoch: 83, Accuracy: 80.20679468242245%, Training loss: 0.5442784428596497
Epoch: 84, Accuracy: 79.54209748892171%, Training loss: 0.5037291646003723
Epoch: 85, Accuracy: 82.60709010339734%, Training loss: 0.5056827664375305
Epoch: 86, Accuracy: 83.12407680945347%, Training loss: 0.49064841866493225
Epoch: 87, Accuracy: 82.09010339734121%, Training loss: 0.4935316741466522
Epoch: 88, Accuracy: 84.63810930576071%, Training loss: 0.512092649936676
Epoch: 89, Accuracy: 84.26883308714919%, Training loss: 0.49532657861709595
Epoch: 90, Accuracy: 86.00443131462333%, Training loss: 0.48276472091674805
Epoch: 91, Accuracy: 84.63810930576071%, Training loss: 0.48867595195770264
Epoch: 92, Accuracy: 84.78581979320532%, Training loss: 0.48621395230293274
Epoch: 93, Accuracy: 86.04135893648449%, Training loss: 0.47553032636642456
Epoch: 94, Accuracy: 84.60118168389955%, Training loss: 0.4930710792541504
Epoch: 95, Accuracy: 84.74889217134417%, Training loss: 0.45144176483154297
Epoch: 96, Accuracy: 84.97045790251107%, Training loss: 0.45859435200691223
Epoch: 97, Accuracy: 85.00738552437222%, Training loss: 0.4560769498348236
Epoch: 98, Accuracy: 85.30280649926145%, Training loss: 0.44706451892852783
Epoch: 99, Accuracy: 84.78581979320532%, Training loss: 0.4627101421356201
Epoch: 100, Accuracy: 86.33677991137371%, Training loss: 0.42112162709236145
Epoch: 101, Accuracy: 86.59527326440177%, Training loss: 0.44865378737449646
Epoch: 102, Accuracy: 85.15509601181684%, Training loss: 0.4645631015300751
Epoch: 103, Accuracy: 87.33382570162482%, Training loss: 0.4273845851421356
Epoch: 104, Accuracy: 86.59527326440177%, Training loss: 0.4182163178920746
Epoch: 105, Accuracy: 85.37666174298376%, Training loss: 0.4151436388492584
Epoch: 106, Accuracy: 85.4874446085672%, Training loss: 0.42969778180122375
Epoch: 107, Accuracy: 84.60118168389955%, Training loss: 0.4461558163166046
Epoch: 108, Accuracy: 86.52141802067946%, Training loss: 0.456592857837677
Epoch: 109, Accuracy: 86.04135893648449%, Training loss: 0.42445674538612366
Epoch: 110, Accuracy: 85.93057607090104%, Training loss: 0.49726900458335876
Epoch: 111, Accuracy: 84.85967503692763%, Training loss: 0.47077399492263794
Epoch: 112, Accuracy: 86.1890694239291%, Training loss: 0.446712851524353
Epoch: 113, Accuracy: 87.37075332348597%, Training loss: 0.4185763895511627
Epoch: 114, Accuracy: 87.29689807976366%, Training loss: 0.4108731150627136
